Entry Name,Species,Level,Happiness,Item,AI Role,Is Key Strategic Pokemon,IVs HP,IVs Attack,IVs Defense,IVs Sp.Atk,IVs Sp.Def,IVs Speed,EVs HP,EVs Attack,EVs Defense,EVs Sp.Atk,EVs Sp.Def,EVs Speed,Moves 1,Moves 2,Moves 3,Moves 4,Can Fill Combo A Role 1,Can Fill Combo A Role 2,Can Fill Combo B Role 1,Can Fill Combo B Role 2,Use species second ability,Gender,Nature,Use Random Nature and Gender
ODDISH - 31,ODDISH (43),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ABSORB (71),None (0),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
MACHOP - 32,MACHOP (66),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,LOW KICK (67),LEER (43),None (0),None (0),false,false,false,false,false,Female (1),Hardy (0),false
POOCHYENA - 33,POOCHYENA (286),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,HOWL (336),TACKLE (33),None (0),None (0),false,false,false,false,false,Male (0),Quirky (24),false
NINCADA - 34,NINCADA (301),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,LEECH LIFE (141),SCRATCH (10),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
AZURILL - 35,AZURILL (350),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,BUBBLE (145),CHARM (204),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
IGGLYBUFF - 36,IGGLYBUFF (174),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,POUND (1),CHARM (204),None (0),None (0),false,false,false,false,false,Female (1),Serious (12),false
TOGEPI - 37,TOGEPI (175),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PECK (64),CHARM (204),None (0),None (0),false,false,false,false,true,Male (0),Quirky (24),false
TYROGUE - 38,TYROGUE (236),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),None (0),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
GRIMER - 39,GRIMER (88),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,POUND (1),HARDEN (106),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
ZUBAT - 40,ZUBAT (41),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SUPERSONIC (48),LEECH LIFE (141),None (0),None (0),false,false,false,false,false,Male (0),Quirky (24),false
WURMPLE - 41,WURMPLE (290),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,POISON STING (40),STRING SHOT (81),None (0),None (0),false,false,false,false,false,Female (1),Docile (6),false
SILCOON - 42,SILCOON (291),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,HARDEN (106),POISON STING (40),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
CASCOON - 43,CASCOON (293),7,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,HARDEN (106),POISON STING (40),None (0),None (0),false,false,false,false,false,Male (0),Quirky (24),false
ZIGZAGOON - 44,ZIGZAGOON (288),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TAIL WHIP (39),TACKLE (33),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
NUMEL - 45,NUMEL (339),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),GROWL (45),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
SNUBBULL - 46,SNUBBULL (209),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SCARY FACE (184),TACKLE (33),None (0),None (0),false,false,false,false,true,Female (1),Docile (6),false
CORPHISH - 47,CORPHISH (326),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,HARDEN (106),BUBBLE (145),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
LOTAD - 48,LOTAD (295),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ABSORB (71),GROWL (45),None (0),None (0),false,false,false,false,false,Male (0),Quirky (24),false
CACNEA - 49,CACNEA (344),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,POISON STING (40),LEER (43),None (0),None (0),false,false,false,false,false,Female (1),Docile (6),false
SLUGMA - 50,SLUGMA (218),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,EMBER (52),None (0),None (0),None (0),false,false,false,false,false,Female (1),Serious (12),false
HORSEA - 51,HORSEA (116),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,WATER GUN (55),LEER (43),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
ABRA - 52,ABRA (63),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,FIRE PUNCH (7),THUNDERPUNCH (9),ICE PUNCH (8),None (0),false,false,false,false,true,Female (1),Quirky (24),false
SHROOMISH - 53,SHROOMISH (306),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ABSORB (71),TACKLE (33),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
PIKACHU - 54,PIKACHU (25),12,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,THUNDERBOLT (85),None (0),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
MARILL - 55,MARILL (183),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,BUBBLE (145),CHARM (204),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
JIGGLYPUFF - 56,JIGGLYPUFF (39),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,POUND (1),CHARM (204),None (0),None (0),false,false,false,false,false,Female (1),Serious (12),false
TOGEPI - 57,TOGEPI (175),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PECK (64),CHARM (204),None (0),None (0),false,false,false,false,true,Male (0),Quirky (24),false
WURMPLE - 58,WURMPLE (290),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),STRING SHOT (81),POISON STING (40),None (0),false,false,false,false,false,Male (0),Hardy (0),false
WINGULL - 59,WINGULL (309),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,WATER GUN (55),GROWL (45),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
CORPHISH - 60,CORPHISH (326),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,BUBBLE (145),HARDEN (106),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
SWABLU - 61,SWABLU (358),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PECK (64),GROWL (45),None (0),None (0),false,false,false,false,false,Female (1),Docile (6),false
DODUO - 62,DODUO (84),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PURSUIT (228),PECK (64),GROWL (45),None (0),false,false,false,false,true,Male (0),Quirky (24),false
SPOINK - 63,SPOINK (351),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PSYWAVE (149),ODOR SLEUTH (316),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
HOUNDOUR - 64,HOUNDOUR (228),17,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,FAINT ATTACK (185),CHARM (204),EMBER (52),ROAR (46),false,false,false,false,true,Male (0),Hardy (0),false
SLUGMA - 65,SLUGMA (218),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,EMBER (52),SMOG (123),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
HORSEA - 66,HORSEA (116),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SMOKESCREEN (108),WATER GUN (55),None (0),None (0),false,false,false,false,false,Male (0),Quirky (24),false
GOLDEEN - 67,GOLDEEN (118),12,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PECK (64),WATER SPORT (346),TAIL WHIP (39),None (0),false,false,false,false,true,Female (1),Serious (12),false
SPHEAL - 68,SPHEAL (341),17,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,AURORA BEAM (62),CHARM (204),WATER GUN (55),MUD-SLAP (189),false,false,false,false,false,Male (0),Hardy (0),false
BALTOY - 69,BALTOY (318),17,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ROCK TOMB (317),REFRESH (287),MUD-SLAP (189),PSYBEAM (60),false,false,false,false,false,Genderless (2),Hardy (0),false
HOOTHOOT - 70,HOOTHOOT (163),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PECK (64),TACKLE (33),GROWL (45),None (0),false,false,false,false,true,Male (0),Quirky (24),false
MAREEP - 71,MAREEP (179),17,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,BODY SLAM (34),HEAL BELL (215),THUNDERSHOCK (84),THUNDER WAVE (86),false,false,false,false,false,Male (0),Hardy (0),false
ELECTRIKE - 72,ELECTRIKE (337),12,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,HOWL (336),TACKLE (33),LEER (43),None (0),false,false,false,false,false,Male (0),Quirky (24),false
CHINCHOU - 73,CHINCHOU (170),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SUPERSONIC (48),WATER GUN (55),None (0),None (0),false,false,false,false,false,Female (1),Serious (12),false
KOFFING - 74,KOFFING (109),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SMOG (123),TACKLE (33),POISON GAS (139),None (0),false,false,false,false,false,Female (1),Serious (12),false
GRIMER - 75,GRIMER (88),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,DISABLE (50),POISON GAS (139),POUND (1),None (0),false,false,false,false,true,Male (0),Docile (6),false
GULPIN - 76,GULPIN (367),17,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SHOCK WAVE (351),SING (47),SLUDGE (124),TOXIC (92),false,false,false,false,false,Male (0),Hardy (0),false
TENTACOOL - 77,TENTACOOL (72),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SUPERSONIC (48),POISON STING (40),SAFEGUARD (219),None (0),false,false,false,false,true,Female (1),Naive (14),false
ODDISH - 78,ODDISH (43),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SWEET SCENT (230),ABSORB (71),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
CACNEA - 79,CACNEA (344),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,POISON STING (40),ABSORB (71),LEER (43),None (0),false,false,false,false,false,Female (1),Quirky (24),false
SHROOMISH - 80,SHROOMISH (306),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ABSORB (71),TACKLE (33),None (0),None (0),false,false,false,false,false,Female (1),Bashful (18),false
LOTAD - 81,LOTAD (295),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ASTONISH (310),GROWL (45),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
PINECO - 82,PINECO (204),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),None (0),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
SEEDOT - 83,SEEDOT (298),17,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,GIGA DRAIN (202),REFRESH (287),BULLET SEED (331),SECRET POWER (290),false,false,false,false,false,Male (0),Hardy (0),false
SLUGMA - 84,SLUGMA (218),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,EMBER (52),SMOG (123),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
NUMEL - 85,NUMEL (339),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,EMBER (52),TACKLE (33),GROWL (45),None (0),false,false,false,false,false,Female (1),Hardy (0),false
HORSEA - 86,HORSEA (116),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SMOKESCREEN (108),WATER GUN (55),None (0),None (0),false,false,false,false,false,Male (0),Quirky (24),false
GOLDEEN - 87,GOLDEEN (118),12,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PECK (64),WATER SPORT (346),TAIL WHIP (39),None (0),false,false,false,false,true,Female (1),Serious (12),false
BELDUM - 88,BELDUM (398),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TAKE DOWN (36),None (0),None (0),None (0),false,false,false,false,false,Genderless (2),Hardy (0),false
HOOTHOOT - 89,HOOTHOOT (163),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PECK (64),TACKLE (33),GROWL (45),None (0),false,false,false,false,true,Male (0),Quirky (24),false
SLAKOTH - 90,SLAKOTH (364),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SCRATCH (10),YAWN (281),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
ELECTRIKE - 91,ELECTRIKE (337),12,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,HOWL (336),TACKLE (33),LEER (43),None (0),false,false,false,false,false,Male (0),Quirky (24),false
CHINCHOU - 92,CHINCHOU (170),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SUPERSONIC (48),WATER GUN (55),None (0),None (0),false,false,false,false,false,Female (1),Serious (12),false
MAGNEMITE - 93,MAGNEMITE (81),12,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),THUNDERSHOCK (84),None (0),None (0),false,false,false,false,true,Genderless (2),Hardy (0),false
KOFFING - 94,KOFFING (109),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SMOG (123),TACKLE (33),POISON GAS (139),None (0),false,false,false,false,false,Female (1),Serious (12),false
GRIMER - 95,GRIMER (88),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,DISABLE (50),POISON GAS (139),POUND (1),None (0),false,false,false,false,true,Male (0),Docile (6),false
TENTACOOL - 96,TENTACOOL (72),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SUPERSONIC (48),POISON STING (40),SAFEGUARD (219),None (0),false,false,false,false,true,Female (1),Hardy (0),false
ZUBAT - 97,ZUBAT (41),10,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SUPERSONIC (48),LEECH LIFE (141),None (0),None (0),false,false,false,false,false,Female (1),Hardy (0),false
ODDISH - 98,ODDISH (43),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SWEET SCENT (230),ABSORB (71),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
CACNEA - 99,CACNEA (344),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,POISON STING (40),ABSORB (71),LEER (43),None (0),false,false,false,false,false,Female (1),Quirky (24),false
SHROOMISH - 100,SHROOMISH (306),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ABSORB (71),TACKLE (33),None (0),None (0),false,false,false,false,false,Female (1),Bashful (18),false
LOTAD - 101,LOTAD (295),8,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ASTONISH (310),GROWL (45),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
PINECO - 102,PINECO (204),9,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),None (0),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
DUSKULL - 103,DUSKULL (361),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,FORESIGHT (193),NIGHT SHADE (101),None (0),None (0),false,false,false,false,false,Male (0),Docile (6),false
SKITTY - 104,SKITTY (315),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),TAIL WHIP (39),None (0),None (0),false,false,false,false,false,Male (0),Quirky (24),false
DODUO - 105,DODUO (84),13,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PECK (64),GROWL (45),None (0),None (0),false,false,false,false,false,Female (1),Docile (6),false
TAILLOW - 106,TAILLOW (304),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,GROWL (45),QUICK ATTACK (98),None (0),None (0),false,false,false,false,false,Male (0),Quirky (24),false
CLAMPERL - 107,CLAMPERL (373),13,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,IRON DEFENSE (334),CLAMP (128),WATER GUN (55),None (0),false,false,false,false,false,Male (0),Docile (6),false
CORPHISH - 108,CORPHISH (326),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,LEER (43),VICEGRIP (11),HARDEN (106),BUBBLE (145),false,false,false,false,false,Female (1),Quirky (24),false
ZUBAT - 109,ZUBAT (41),15,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ASTONISH (310),SUPERSONIC (48),LEECH LIFE (141),None (0),false,false,false,false,false,Male (0),Hardy (0),false
ANORITH - 110,ANORITH (390),13,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,MUD SPORT (300),HARDEN (106),SCRATCH (10),None (0),false,false,false,false,false,Male (0),Quirky (24),false
LILEEP - 111,LILEEP (388),13,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ACID (51),ASTONISH (310),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
SWINUB - 112,SWINUB (220),14,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),ODOR SLEUTH (316),None (0),None (0),false,false,false,false,false,Female (1),Serious (12),false
SHUPPET - 113,SHUPPET (377),13,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NIGHT SHADE (101),SCREECH (103),KNOCK OFF (282),None (0),false,false,false,false,false,Male (0),Docile (6),false
SPINARAK - 114,SPINARAK (167),17,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,DIG (91),REFRESH (287),SIGNAL BEAM (324),NIGHT SHADE (101),false,false,false,false,false,Male (0),Hardy (0),false
RALTS - 115,RALTS (392),15,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,DOUBLE TEAM (104),CONFUSION (93),GROWL (45),REFLECT (115),false,false,false,false,false,Male (0),Docile (6),false
VOLTORB - 116,VOLTORB (100),16,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SONICBOOM (49),SCREECH (103),TACKLE (33),CHARGE (268),false,false,false,false,false,Genderless (2),Hardy (0),false
BAGON - 117,BAGON (395),16,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,LEER (43),BITE (44),RAGE (99),None (0),false,false,false,false,false,Female (1),Quirky (24),false
