Entry Name,Level up Rate,Catch Rate,Gender Ratio,Exp yield,Base Happiness,Height,Weight,Cry ID,Unknown 1,Unknown 2,National Dex Index,Hoenn dex regional id,Name ID,Species Name ID,Unknown 3,Unknown 4,Unknown 5,Model ID,Types 1,Types 2,Abilities 1,Abilities 2,TM01 FOCUS PUNCH,TM02 DRAGON CLAW,TM03 WATER PULSE,TM04 CALM MIND,TM05 ROAR,TM06 TOXIC,TM07 HAIL,TM08 BULK UP,TM09 BULLET SEED,TM10 HIDDEN POWER,TM11 SUNNY DAY,TM12 TAUNT,TM13 ICE BEAM,TM14 BLIZZARD,TM15 HYPER BEAM,TM16 LIGHT SCREEN,TM17 PROTECT,TM18 RAIN DANCE,TM19 GIGA DRAIN,TM20 SAFEGUARD,TM21 FRUSTRATION,TM22 SOLARBEAM,TM23 IRON TAIL,TM24 THUNDERBOLT,TM25 THUNDER,TM26 EARTHQUAKE,TM27 RETURN,TM28 DIG,TM29 PSYCHIC,TM30 SHADOW BALL,TM31 BRICK BREAK,TM32 DOUBLE TEAM,TM33 REFLECT,TM34 SHOCK WAVE,TM35 FLAMETHROWER,TM36 SLUDGE BOMB,TM37 SANDSTORM,TM38 FIRE BLAST,TM39 ROCK TOMB,TM40 AERIAL ACE,TM41 TORMENT,TM42 FACADE,TM43 SECRET POWER,TM44 REST,TM45 ATTRACT,TM46 THIEF,TM47 STEEL WING,TM48 SKILL SWAP,TM49 SNATCH,TM50 OVERHEAT,HM01 CUT,HM02 FLY,HM03 SURF,HM04 STRENGTH,HM05 FLASH,HM06 ROCK SMASH,HM07 WATERFALL,HM08 DIVE,TutorMove08 BODY SLAM,TutorMove11 DOUBLE-EDGE,TutorMove03 SEISMIC TOSS,TutorMove01 MIMIC,TutorMove06 DREAM EATER,TutorMove02 THUNDER WAVE,TutorMove05 SUBSTITUTE,TutorMove04 ICY WIND,TutorMove07 SWAGGER,TutorMove10 SKY ATTACK,TutorMove12 SELFDESTRUCT,TutorMove09 NIGHTMARE,Wild Items 1,Wild Items 2,Egg Moves 1,Egg Moves 2,Egg Moves 3,Egg Moves 4,Egg Moves 5,Egg Moves 6,Egg Moves 7,Egg Moves 8,Base Stats HP,Base Stats Attack,Base Stats Defense,Base Stats Sp.Atk,Base Stats Sp.Def,Base Stats Speed,EV Yields HP,EV Yields Attack,EV Yields Defense,EV Yields Sp.Atk,EV Yields Sp.Def,EV Yields Speed,Evolutions 1 Evolution Method,Evolutions 1 Evolution Condition,Evolutions 1 Evolved Form,Evolutions 2 Evolution Method,Evolutions 2 Evolution Condition,Evolutions 2 Evolved Form,Evolutions 3 Evolution Method,Evolutions 3 Evolution Condition,Evolutions 3 Evolved Form,Evolutions 4 Evolution Method,Evolutions 4 Evolution Condition,Evolutions 4 Evolved Form,Evolutions 5 Evolution Method,Evolutions 5 Evolution Condition,Evolutions 5 Evolved Form,Level Up Moves 1 Level,Level Up Moves 1 Move,Level Up Moves 2 Level,Level Up Moves 2 Move,Level Up Moves 3 Level,Level Up Moves 3 Move,Level Up Moves 4 Level,Level Up Moves 4 Move,Level Up Moves 5 Level,Level Up Moves 5 Move,Level Up Moves 6 Level,Level Up Moves 6 Move,Level Up Moves 7 Level,Level Up Moves 7 Move,Level Up Moves 8 Level,Level Up Moves 8 Move,Level Up Moves 9 Level,Level Up Moves 9 Move,Level Up Moves 10 Level,Level Up Moves 10 Move,Level Up Moves 11 Level,Level Up Moves 11 Move,Level Up Moves 12 Level,Level Up Moves 12 Move,Level Up Moves 13 Level,Level Up Moves 13 Move,Level Up Moves 14 Level,Level Up Moves 14 Move,Level Up Moves 15 Level,Level Up Moves 15 Move,Level Up Moves 16 Level,Level Up Moves 16 Move,Level Up Moves 17 Level,Level Up Moves 17 Move,Level Up Moves 18 Level,Level Up Moves 18 Move,Level Up Moves 19 Level,Level Up Moves 19 Move,Regular Sprites Pokedex Colour ID,Regular Sprites Face ID,Regular Sprites Purify Chamber Image ID,Shiny Sprites Pokedex Colour ID,Shiny Sprites Face ID,Shiny Sprites Purify Chamber Image ID
STARMIE  - 121,Very Slow (5),60,Genderless (255),207,70 (0x46),11,800,583 (0x247),121 (0x79),1360 (0x550),121,144,STARMIE (0x461),MYSTERIOUS (0x68F),0 (0x0),127 (0x7F),513 (0x201),pkx_starmie.fsys (121),WATER (11),PSYCHC (14),ILLUMINATE (35),NATURAL CURE (30),FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,STARDUST (108),STAR PIECE (109),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),60,75,85,100,85,115,0,0,0,0,0,2,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,WATER GUN (55),1,RAPID SPIN (229),1,RECOVER (105),1,SWIFT (129),33,CONFUSE RAY (109),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),7 (0x7),face121.gtx Regular (121),poke_dance.fsys -> starmie.atx (0x1E1A3200),7 (0x7),face121.gtx Shiny (507),poke_dance.fsys -> starmie_c.atx (0x1E1B3200)
MR. MIME  - 122,Standard (0),45,50% Male (127),136,70 (0x46),13,545,584 (0x248),122 (0x7A),1360 (0x550),122,280,MR. MIME (0x462),BARRIER (0x6A9),0 (0x0),128 (0x80),514 (0x202),pkx_barrierd.fsys (122),PSYCHC (14),PSYCHC (14),SOUNDPROOF (43),None (0),TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,None (0),LEPPA BERRY (138),FUTURE SIGHT (248),HYPNOSIS (95),MIMIC (102),PSYCH UP (244),FAKE OUT (252),TRICK (271),None (0),None (0),40,45,65,100,120,90,0,0,0,0,2,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,BARRIER (112),5,CONFUSION (93),9,SUBSTITUTE (164),13,MEDITATE (96),17,DOUBLESLAP (3),21,LIGHT SCREEN (113),21,REFLECT (115),25,ENCORE (227),29,PSYBEAM (60),33,RECYCLE (278),37,TRICK (271),41,ROLE PLAY (272),45,PSYCHIC (94),49,BATON PASS (226),53,SAFEGUARD (219),0,None (0),0,None (0),0,None (0),0,None (0),10 (0xA),face122.gtx Regular (122),poke_dance.fsys -> barrierd.atx (0x1BAF3200),10 (0xA),face122.gtx Shiny (508),poke_dance.fsys -> barrierd_c.atx (0x1BB03200)
SCYTHER  - 123,Standard (0),45,50% Male (127),187,70 (0x46),15,560,585 (0x249),123 (0x7B),1360 (0x550),123,281,SCYTHER (0x463),MANTIS (0x61C),0 (0x0),129 (0x81),515 (0x203),pkx_strike.fsys (123),BUG (6),FLYING (2),SWARM (68),None (0),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),COUNTER (68),SAFEGUARD (219),BATON PASS (226),RAZOR WIND (13),REVERSAL (179),LIGHT SCREEN (113),ENDURE (203),SILVER WIND (318),70,110,80,55,80,105,0,1,0,0,0,0,Trade With Item (6),199 (0xC7),SCIZOR (212),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,QUICK ATTACK (98),1,LEER (43),6,FOCUS ENERGY (116),11,PURSUIT (228),16,FALSE SWIPE (206),21,AGILITY (97),26,WING ATTACK (17),31,SLASH (163),36,SWORDS DANCE (14),41,DOUBLE TEAM (104),46,FURY CUTTER (210),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),4 (0x4),face123.gtx Regular (123),poke_dance.fsys -> strike.atx (0x1E1C3200),4 (0x4),face123.gtx Shiny (509),poke_dance.fsys -> strike_c.atx (0x1E1D3200)
JYNX  - 124,Standard (0),45,Female Only (254),137,70 (0x46),14,406,586 (0x24A),124 (0x7C),1360 (0x550),124,282,JYNX (0x464),HUMAN SHAPE (0x6AE),0 (0x0),130 (0x82),516 (0x204),pkx_rougela.fsys (124),ICE (15),PSYCHC (14),OBLIVIOUS (12),None (0),TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,ASPEAR BERRY (137),ASPEAR BERRY (137),MEDITATE (96),PSYCH UP (244),FAKE OUT (252),WISH (273),ICE PUNCH (8),None (0),None (0),None (0),65,50,35,115,95,95,0,0,0,2,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,POUND (1),1,LICK (122),1,LOVELY KISS (142),1,POWDER SNOW (181),9,LOVELY KISS (142),13,POWDER SNOW (181),21,DOUBLESLAP (3),25,ICE PUNCH (8),35,MEAN LOOK (212),41,FAKE TEARS (313),51,BODY SLAM (34),57,PERISH SONG (195),67,BLIZZARD (59),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),1 (0x1),face124.gtx Regular (124),poke_dance.fsys -> rougela.atx (0x1DE63200),1 (0x1),face124.gtx Shiny (510),poke_dance.fsys -> rougela_c.atx (0x1DE73200)
ELECTABUZZ  - 125,Standard (0),45,75% Male (63),156,70 (0x46),11,300,587 (0x24B),125 (0x7D),1360 (0x550),125,283,ELECTABUZZ (0x465),ELECTRIC (0x678),0 (0x0),131 (0x83),517 (0x205),pkx_eleboo.fsys (125),ELECTR (13),ELECTR (13),STATIC (9),None (0),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),KARATE CHOP (2),BARRIER (112),ROLLING KICK (27),MEDITATE (96),CROSS CHOP (238),FIRE PUNCH (7),ICE PUNCH (8),None (0),65,83,57,95,85,105,0,0,0,0,0,2,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,QUICK ATTACK (98),1,LEER (43),1,THUNDERPUNCH (9),9,THUNDERPUNCH (9),17,LIGHT SCREEN (113),25,SWIFT (129),36,SCREECH (103),47,THUNDERBOLT (85),58,THUNDER (87),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),3 (0x3),face125.gtx Regular (125),poke_dance.fsys -> eleboo.atx (0x1C213200),3 (0x3),face125.gtx Shiny (511),poke_dance.fsys -> eleboo_c.atx (0x1C223200)
MAGMAR  - 126,Standard (0),45,75% Male (63),167,70 (0x46),13,445,588 (0x24C),126 (0x7E),1360 (0x550),126,284,MAGMAR (0x466),SPITFIRE (0x6B1),0 (0x0),132 (0x84),518 (0x206),pkx_boober.fsys (126),FIRE (10),FIRE (10),FLAME BODY (49),None (0),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,RAWST BERRY (136),RAWST BERRY (136),KARATE CHOP (2),MEGA PUNCH (5),BARRIER (112),SCREECH (103),CROSS CHOP (238),THUNDERPUNCH (9),None (0),None (0),65,95,57,100,85,93,0,0,0,2,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,EMBER (52),1,LEER (43),1,SMOG (123),1,FIRE PUNCH (7),7,LEER (43),13,SMOG (123),19,FIRE PUNCH (7),25,SMOKESCREEN (108),33,SUNNY DAY (241),41,FLAMETHROWER (53),49,CONFUSE RAY (109),57,FIRE BLAST (126),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),1 (0x1),face126.gtx Regular (126),poke_dance.fsys -> boober.atx (0x1BC33200),1 (0x1),face126.gtx Shiny (512),poke_dance.fsys -> boober_c.atx (0x1BC43200)
PINSIR  - 127,Very Slow (5),45,50% Male (127),200,70 (0x46),15,550,589 (0x24D),127 (0x7F),1360 (0x550),127,167,PINSIR (0x467),STAG BEETLE (0x634),0 (0x0),133 (0x85),519 (0x207),pkx_kailios.fsys (127),BUG (6),BUG (6),HYPER CUTTER (52),None (0),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),FURY ATTACK (31),FLAIL (175),FALSE SWIPE (206),FAINT ATTACK (185),None (0),None (0),None (0),None (0),65,125,100,55,70,85,0,2,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,VICEGRIP (11),1,FOCUS ENERGY (116),7,BIND (20),13,SEISMIC TOSS (69),19,HARDEN (106),25,REVENGE (279),31,BRICK BREAK (280),37,GUILLOTINE (12),43,SUBMISSION (66),49,SWORDS DANCE (14),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),6 (0x6),face127.gtx Regular (127),poke_dance.fsys -> kailios.atx (0x1CAC3200),6 (0x6),face127.gtx Shiny (513),poke_dance.fsys -> kailios_c.atx (0x1CAD3200)
TAUROS  - 128,Very Slow (5),45,Male Only (0),211,70 (0x46),14,884,590 (0x24E),128 (0x80),1360 (0x550),128,285,TAUROS (0x468),WILD BULL (0x5E3),0 (0x0),134 (0x86),520 (0x208),pkx_kentauros.fsys (128),NORMAL (0),NORMAL (0),INTIMIDATE (22),None (0),FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),75,100,95,40,70,110,0,1,0,0,0,1,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,TACKLE (33),4,TAIL WHIP (39),8,RAGE (99),13,HORN ATTACK (30),19,SCARY FACE (184),26,PURSUIT (228),34,REST (156),43,THRASH (37),53,TAKE DOWN (36),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),6 (0x6),face128.gtx Regular (128),poke_dance.fsys -> kentauros.atx (0x1CC33200),6 (0x6),face128.gtx Shiny (514),poke_dance.fsys -> kentauros_c.atx (0x1CC43200)
MAGIKARP  - 129,Very Slow (5),255,50% Male (127),20,70 (0x46),9,100,591 (0x24F),129 (0x81),1359 (0x54F),129,52,MAGIKARP (0x469),FISH (0x649),0 (0x0),135 (0x87),521 (0x209),pkx_koiking.fsys (129),WATER (11),WATER (11),SWIFT SWIM (33),None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),20,10,55,15,20,80,0,0,0,0,0,1,Level Up (4),20 (0x14),GYARADOS (130),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,SPLASH (150),15,TACKLE (33),30,FLAIL (175),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),1 (0x1),face129.gtx Regular (129),poke_dance.fsys -> koiking.atx (0x1CDD3200),1 (0x1),face129.gtx Shiny (515),poke_dance.fsys -> koiking_c.atx (0x1CDE3200)
GYARADOS  - 130,Very Slow (5),45,50% Male (127),214,70 (0x46),65,2350,592 (0x250),130 (0x82),1357 (0x54D),130,53,GYARADOS (0x46A),ATROCIOUS (0x62B),0 (0x0),136 (0x88),522 (0x20A),pkx_gyarados.fsys (130),WATER (11),FLYING (2),INTIMIDATE (22),None (0),FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),95,125,79,60,100,81,0,2,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,THRASH (37),20,BITE (44),25,DRAGON RAGE (82),30,LEER (43),35,TWISTER (239),40,HYDRO PUMP (56),45,RAIN DANCE (240),50,DRAGON DANCE (349),55,HYPER BEAM (63),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),2 (0x2),face130.gtx Regular (130),poke_dance.fsys -> gyarados.atx (0x1C613200),2 (0x2),face130.gtx Shiny (516),poke_dance.fsys -> gyarados_c.atx (0x1C623200)
LAPRAS  - 131,Very Slow (5),45,50% Male (127),219,70 (0x46),25,2200,593 (0x251),131 (0x83),1360 (0x550),131,286,LAPRAS (0x46B),TRANSPORT (0x69F),0 (0x0),137 (0x89),523 (0x20B),pkx_laplace.fsys (131),WATER (11),ICE (15),WATER ABSORB (11),SHELL ARMOR (75),FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,None (0),None (0),FORESIGHT (193),SUBSTITUTE (164),TICKLE (321),REFRESH (287),DRAGON DANCE (349),CURSE (174),SLEEP TALK (214),HORN DRILL (32),130,85,80,85,95,60,2,0,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,WATER GUN (55),1,GROWL (45),1,SING (47),7,MIST (54),13,BODY SLAM (34),19,CONFUSE RAY (109),25,PERISH SONG (195),31,ICE BEAM (58),37,RAIN DANCE (240),43,SAFEGUARD (219),49,HYDRO PUMP (56),55,SHEER COLD (329),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),2 (0x2),face131.gtx Regular (131),poke_dance.fsys -> laplace.atx (0x1CF23200),2 (0x2),face131.gtx Shiny (517),poke_dance.fsys -> laplace_c.atx (0x1CF33200)
DITTO  - 132,Standard (0),35,Genderless (255),61,70 (0x46),3,40,594 (0x252),132 (0x84),1360 (0x550),132,287,DITTO (0x46C),TRANSFORM (0x6C0),0 (0x0),138 (0x8A),524 (0x20C),pkx_metamon.fsys (132),NORMAL (0),NORMAL (0),LIMBER (7),None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None (0),METAL POWDER (223),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),48,48,48,48,48,48,1,0,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,TRANSFORM (144),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),7 (0x7),face132.gtx Regular (132),poke_dance.fsys -> metamon.atx (0x1D2A3200),7 (0x7),face132.gtx Shiny (518),poke_dance.fsys -> metamon_c.atx (0x1D2B3200)
